species,sex,length,age
"Softshell","female","10.0 9.9",18
"Spotted","male","3.7 3.6",37
"Softshell","female","10.3 10.2",25
"Spotted","male","4.4 4.6 4.5 4.2",41
"Softshell","male","9.7 9.8",19
"Spotted","female","5.0 5.0 5.1",52
"Softshell","female","9.7 9.8 9.6",16
"Spotted","male","3.7 3.6 3.6",27
"Softshell","female","10.3 10.1",34
"Spotted","female","5.5 5.5 5.3",59
"Softshell","male","9.3 9.5",20
"Spotted","female","5.8 5.7 5.8",68
"Spotted","female","4.7 4.7 4.8",35
"Spotted","female","5.1 5.2 5.0 5.3",72
"Spotted","female","5.2 5.3 5.3 5.2",37
"Softshell","female","11.2 11.6 11.4 11.4 11.4",32
"Softshell","male","8.7 8.8 8.7",16
"Softshell","male","10.1 10.0",23
"Spotted","male","2.4 2.6",21
"Softshell","female","10.1 10.2",14
"Spotted","female","5.4 5.5 5.6 5.3",83
"Spotted","male","3.7 3.5 3.8",28
"Spotted","male","4.1 4.3 4.2",66
"Softshell","female","10.9 10.8 10.9",29
"Spotted","female","4.4 4.5 4.3 4.4",60
"Softshell","female","10.9 11.4 11.1",20
"Spotted","female","4.6 4.7 4.6 5.0",31
"Spotted","female","4.3 4.1",51
"Spotted","female","4.2 4.3 4.1",46
"Spotted","female","5.4 5.2 5.2 5.3 5.3",55
"Spotted","female","5.4 5.4 5.3 5.4",90
"Spotted","male","3.6 3.5",46
"Spotted","male","3.2 3.3",26
"Softshell","male","9.5 9.5",16
"Spotted","female","4.2 4.1",19
"Spotted","female","6.0 5.4 5.7",76
"Softshell","female","10.2 10.1 10.0",18
"Spotted","male","3.3 3.5 3.4",26
"Softshell","male","9.3 9.2 9.3",11
"Softshell","male","9.1 9.1 9.1",18
"Spotted","female","4.9 4.9 4.8",32
"Softshell","male","9.4 9.2",29
"Softshell","female","10.5 10.2",19
"Softshell","female","10.8 10.8 10.6",23
"Spotted","female","4.6 4.7 4.3",69
"Softshell","male","9.9 9.9",17
"Spotted","female","4.6 4.6",36
"Softshell","female","10.6 10.7 10.6 10.7",20
"Softshell","male","9.4 9.5 9.4",16
"Softshell","male","9.1 9.3 9.3 9.4 9.4",15
"Softshell","male","8.8 9.0 9.0",17
"Softshell","female","11.3 11.3 11.2",30
"Spotted","male","3.5 3.6 3.7 3.4",24
"Spotted","female","4.7 4.7",59
"Spotted","female","6.3 6.3 6.1",69
"Spotted","female","5.1 5.4",55
"Spotted","female","5.4 5.1 5.6",55
"Spotted","female","5.3 5.0 5.3 5.1",55
"Softshell","female","10.5 10.5 10.4",25
"Softshell","male","9.1 9.3",14
"Softshell","female","11.0 10.9 11.0",21
"Softshell","female","10.6 10.4 10.7 10.6",20
"Spotted","female","5.0 5.1 4.8",69
"Spotted","female","4.5 4.4 4.5",12
"Spotted","female","4.5 4.6",63
"Softshell","male","8.3 8.2",13
"Spotted","female","4.1 3.8",55
"Softshell","female","9.9 9.9 10.0 9.9 10.0 10.1",19
"Softshell","male","9.6 9.5 9.6 9.7",17
"Spotted","female","4.5 4.5 4.7",36
"Softshell","female","9.9 9.9",18
"Softshell","female","10.3 10.3",22
"Spotted","male","3.2 3.5 3.3",21
"Softshell","female","10.9 11.1",23
"Spotted","female","4.5 4.3 4.2",30
"Spotted","female","5.1 5.0",55
"Softshell","female","10.7 10.9",25
"Spotted","female","5.0 5.0",46
"Softshell","female","9.9 9.9",20
"Spotted","male","3.9 4.1 3.9 4.0",23
"Spotted","male","4.6 4.7",48
"Spotted","male","3.8 3.9 3.9",32
"Softshell","female","10.5 10.4 10.5",25
"Softshell","female","10.2 10.1 10.3 10.2 10.0",19
"Spotted","male","4.1 4.0",52
"Spotted","female","5.3 5.5 5.4",53
"Spotted","female","5.3 5.2 5.3",51
"Spotted","female","5.6 5.3 5.2",60
"Spotted","female","5.8 6.1",48
"Softshell","female","10.4 10.4 10.2",23
"Softshell","female","9.8 9.9 10.1",10
"Spotted","female","4.9 4.8 4.9",67
"Spotted","female","5.4 5.3 5.4 5.4",94
"Softshell","male","9.1 9.3",14
"Spotted","male","2.8 2.7",17
"Spotted","male","3.0 2.9",18
"Spotted","female","4.7 4.8",38
"Softshell","male","8.9 8.9",19
"Softshell","male","10.2 10.2 10.1 10.2",29
"Softshell","female","9.8 9.9 10.0 10.0",15
"Spotted","male","2.4 2.5 2.3 2.2",16
"Spotted","female","4.4 4.5 4.5 4.4 4.3",51
"Spotted","male","3.6 3.6",22
"Spotted","female","4.1 4.5 4.7 4.4",47
"Spotted","male","3.4 3.5 3.5",17
"Softshell","male","9.1 9.1",11
"Softshell","male","8.7 9.1",17
"Softshell","female","9.7 9.6",13
"Softshell","female","10.6 10.5 10.5",33
"Spotted","female","5.4 5.4 5.4",73
"Spotted","female","4.7 4.7 4.9",28
"Spotted","female","3.9 4.0 3.9",29
"Spotted","female","2.7 2.7 2.5 3.0 2.7",10
"Spotted","male","3.8 3.8",42
"Spotted","male","2.3 2.3",12
"Spotted","female","4.1 4.0 3.9 3.9",34
"Spotted","female","5.4 5.3 5.2 5.4",79
"Softshell","male","9.2 9.1 9.3",22
"Softshell","female","10.4 10.8",24
"Softshell","female","10.5 10.4 10.6 10.4",30
"Softshell","female","10.4 10.3",19
"Softshell","female","10.6 10.7 10.7 10.5",23
"Spotted","female","5.8 6.0 5.9",102
"Softshell","female","11.0 10.8 11.0",23
"Spotted","male","2.8 2.9 2.9 2.9",14
"Spotted","female","6.1 6.0 6.0 5.6",61
"Softshell","female","10.1 10.3",22
"Softshell","male","10.1 10.1",13
"Softshell","female","10.5 10.5",24
"Softshell","female","10.3 10.3",13
"Spotted","female","4.9 5.0",28
"Softshell","female","11.2 11.2 11.1",34
"Softshell","female","10.3 10.4 10.3 10.3",16
"Softshell","male","9.2 9.1 9.2",15
"Spotted","male","3.5 3.2 3.4 3.3",42
"Spotted","female","4.8 4.9 4.9",60
"Softshell","female","10.5 10.4",25
"Softshell","male","8.5 8.6 8.8",5
"Spotted","female","5.3 5.0",90
"Softshell","female","10.3 10.5",12
"Softshell","female","9.9 9.8 9.9",21
"Softshell","female","9.9 10.2",18
"Spotted","male","3.5 3.6",42
"Softshell","female","10.1 9.9 10.2",16
"Spotted","female","4.1 4.3 4.3 4.3 4.2",13
"Softshell","female","10.2 9.9",17
"Spotted","female","5.2 5.1 5.1",85
"Spotted","female","3.9 4.0 4.0",28
"Spotted","female","5.4 5.5",54
"Softshell","female","10.2 9.8",22
"Spotted","male","4.0 4.0 4.0 3.7 4.1",37
"Spotted","male","3.2 3.4",27
"Spotted","female","4.0 3.9",21
"Spotted","male","3.3 3.2 3.2 3.5",31
"Softshell","male","8.6 8.8 8.6 8.5 8.6 8.5",8
"Softshell","female","10.6 10.5 10.5",28
"Spotted","female","5.0 5.1",53
"Softshell","male","9.5 9.4",14
"Spotted","female","5.0 5.4 5.1",83
"Spotted","female","4.9 5.0",41
"Softshell","female","11.2 11.0",22
"Spotted","female","4.7 4.6 4.9 5.0",38
"Spotted","female","4.6 4.7",28
"Softshell","male","9.9 10.0",20
"Softshell","female","10.7 10.5 10.7 10.5",15
"Spotted","male","3.9 3.8 3.8 3.7",32
"Spotted","male","3.5 3.5 3.4",27
"Spotted","female","3.9 3.9",50
"Spotted","female","4.9 4.6 4.7 4.6",51
"Spotted","female","4.8 4.8",34
"Softshell","female","9.9 9.7 9.9 9.9",19
"Spotted","male","2.7 2.9 2.8",27
"Softshell","female","11.4 11.1 11.0 10.8",23
"Spotted","female","4.6 4.7",76
"Spotted","male","3.0 2.9 3.2 3.0 3.3",23
"Spotted","male","3.2 3.4",39
"Softshell","male","9.7 9.4 9.5 9.6",29
"Softshell","female","10.4 10.4",19
"Spotted","female","5.1 5.2 4.9",49
"Spotted","female","5.1 5.3 5.3",36
"Spotted","male","3.1 3.0 3.1 2.9",22
"Softshell","female","9.7 9.8",19
"Softshell","male","8.4 8.5 8.6 8.5",11
"Spotted","female","4.8 5.0 5.2",68
"Softshell","female","10.1 9.9 9.7",20
"Softshell","female","10.1 9.9 9.8 9.8 10.0 9.9",20
"Spotted","female","4.8 4.9 4.9",56
"Softshell","male","8.8 8.6 8.8",25
"Softshell","male","9.3 9.3",19
"Spotted","female","3.7 4.0 3.9 3.8",22
"Spotted","female","5.0 4.7 4.9",37
"Spotted","female","5.4 5.4",89
"Softshell","female","10.4 10.5 10.6",17
"Spotted","male","2.8 2.8",19
"Spotted","female","4.7 4.7 4.7",64
"Softshell","male","9.3 9.5 9.6",20
"Spotted","male","4.3 4.2 4.2",31
"Softshell","female","10.2 10.1 10.2",29
"Spotted","female","5.0 4.8 5.0 4.9",52
"Softshell","female","10.3 10.2",18
"Softshell","male","8.9 9.1 8.9",15
"Spotted","male","5.0 5.0",42
"Spotted","male","3.4 3.3",18
"Softshell","male","9.2 9.4",12
"Spotted","female","4.6 4.6 4.6",43
"Softshell","male","8.4 8.2 8.8",8
"Softshell","male","9.5 9.6 9.6",21
"Spotted","female","4.8 4.8 4.7 4.6",44
"Softshell","female","10.0 9.9",19
"Spotted","female","4.5 4.6 4.2",44
"Spotted","male","3.4 3.2 3.2",36
"Softshell","female","10.1 10.2",13
"Softshell","male","9.0 9.3",22
"Softshell","male","9.5 9.3 9.1",13
"Spotted","female","3.9 4.2 4.0",46
"Spotted","male","1.9 2.0",6
"Softshell","male","9.8 9.9",21
"Spotted","female","4.6 4.8 4.6",35
"Spotted","female","5.5 5.4 5.4",63
"Spotted","female","5.5 5.7 5.6",78
"Spotted","male","4.0 3.8 3.6 4.0",37
"Softshell","female","10.2 10.3 10.3 10.7 10.4 10.4",12
"Softshell","female","10.4 10.4 10.4",16
"Spotted","male","2.9 3.0",43
"Spotted","female","4.7 4.8",28
"Softshell","male","9.8 9.8 9.8 9.5",23
"Spotted","female","4.9 5.2 4.8",70
"Spotted","female","5.7 5.6 5.9 5.4 5.7",58
"Spotted","male","2.8 2.7 2.6 2.6 2.8",27
"Spotted","male","3.8 4.0",58
"Softshell","female","10.5 10.6",24
"Softshell","male","8.5 8.4 8.5",10
"Softshell","female","10.4 10.4",23
"Softshell","female","10.1 9.9",22
"Softshell","female","10.4 10.3 10.3 10.0",22
"Spotted","male","3.4 3.3 3.1 3.2",26
"Spotted","male","2.6 2.9 2.7",21
"Softshell","female","9.9 9.8",14
"Softshell","female","10.7 10.8 10.4 10.9",30
"Spotted","female","5.4 5.3",57
"Spotted","female","5.2 5.2 5.4 5.1",61
"Softshell","male","9.5 9.3",23
"Spotted","female","5.2 5.3 5.3",102
"Spotted","male","3.5 3.7",36
"Spotted","female","4.1 4.0 4.2 4.0",38
"Softshell","female","10.0 9.8",15
"Spotted","female","5.2 5.1 5.2",52
"Spotted","female","5.4 5.3",73
"Spotted","male","3.7 3.7",32
"Spotted","male","3.2 3.0 3.3 3.3",18
"Spotted","female","3.9 4.0 4.2 3.9",45
"Softshell","male","8.8 9.1 9.0 9.0 8.9",12
"Softshell","male","9.4 9.5",25
"Softshell","male","9.3 9.2 9.2",8
"Spotted","male","3.5 3.5 3.2",33
"Spotted","male","2.8 3.0",11
"Softshell","female","10.2 10.2",19
"Spotted","female","4.8 4.7 4.8",52
"Softshell","female","10.0 10.1 10.0",19
"Softshell","male","9.4 9.4 9.3 9.5",28
"Softshell","female","9.9 10.3 10.0 10.0 9.9",9
"Spotted","male","4.1 4.1",39
"Spotted","female","4.4 4.3",27
"Spotted","female","5.0 5.1 5.0",51
"Softshell","female","10.6 10.8 10.6 10.8",27
"Softshell","female","10.0 10.0 10.0",22
"Softshell","female","10.5 10.6",10
"Spotted","female","4.9 4.5",53
"Softshell","female","10.7 10.3 10.7 10.6",23
"Softshell","male","8.9 8.8",12
"Spotted","female","5.0 4.8 5.0",38
"Softshell","female","10.3 10.1",22
"Spotted","female","4.5 4.3 4.6 4.3",33
"Spotted","female","6.4 6.4 6.4 6.4",108
"Softshell","female","10.2 10.4 10.3 10.2",22
"Softshell","female","11.1 11.0 10.8 10.9 10.9 11.1",22
"Softshell","female","10.1 9.9 9.7",16
"Spotted","female","5.1 5.3 5.4",63
"Spotted","male","4.1 4.0",37
"Softshell","female","10.2 10.3 10.2",19
"Spotted","female","5.4 5.4 5.2",60
"Spotted","female","5.2 5.0",56
"Softshell","female","10.8 10.8 10.7",16
"Softshell","male","9.0 9.0 9.0",17
"Spotted","female","5.7 5.8",49
"Spotted","female","3.9 3.8 3.9",30
"Spotted","male","3.6 3.3 3.3 3.5",24
"Softshell","female","9.8 9.8",19
"Softshell","male","8.1 8.1",16
"Spotted","male","4.2 4.1 4.0",27
"Spotted","female","4.2 4.4",59
"Spotted","male","3.1 3.3",27
"Spotted","female","5.8 5.8 5.8 5.8",47
"Softshell","male","9.4 9.4 9.5",17
"Spotted","male","3.6 3.7 3.4",26
"Softshell","female","10.4 10.3 10.2",14
"Spotted","male","2.6 2.7",22
"Spotted","female","4.6 4.9",60
"Spotted","female","3.9 3.9 3.8",36
"Spotted","male","3.3 3.6 3.6 3.6 3.5 3.5",43
"Softshell","female","10.6 10.5 10.6 10.6",23
"Softshell","male","9.7 9.7 9.8",15
"Spotted","male","3.0 3.1 3.2",26
"Spotted","male","3.9 3.8",27
"Softshell","female","9.5 9.5",14
"Spotted","female","4.1 4.2 4.2",39
"Spotted","male","3.2 3.4",32
"Softshell","female","10.1 10.3",20
"Softshell","female","10.5 11.0 10.8",24
"Spotted","female","4.8 5.2",51
"Softshell","male","8.7 8.7",15
"Softshell","female","9.4 9.7",21
"Spotted","female","5.0 5.1 5.0",60
"Softshell","male","9.6 9.8",39
"Softshell","female","10.6 10.4",15
"Softshell","female","10.7 10.5 10.7",21
"Softshell","female","8.9 9.3",9
"Softshell","female","11.4 11.3",32
"Spotted","male","3.3 3.6 3.5 3.7",22
"Spotted","female","5.2 5.1",79
"Spotted","male","4.1 4.1 4.4 4.2 4.2",33
"Spotted","female","5.2 5.0 5.2",76
"Softshell","female","10.8 10.7 10.4 10.5",19
"Softshell","female","11.1 11.1 11.2 10.9",17
"Softshell","female","10.9 10.6 10.7",23
"Spotted","female","5.2 5.3 5.3 5.3",65
"Spotted","male","3.4 3.1",27
"Softshell","male","8.9 9.0",8
"Softshell","male","9.2 9.3 9.3",13
"Softshell","female","9.9 10.2",15
"Softshell","male","9.0 9.1 9.3 9.5 9.2",14
"Softshell","female","11.1 11.0 10.9",23
"Softshell","male","8.7 8.6 8.4 8.8",13
"Softshell","male","8.5 8.4 8.5 8.3",16
"Spotted","male","2.7 2.8 2.8 2.8",7
"Spotted","male","3.3 3.2 3.1",17
"Spotted","female","5.5 5.5 5.3",43
"Spotted","male","3.9 4.0 3.9 4.1 4.0",43
"Spotted","male","3.6 3.5 3.5",48
"Softshell","male","9.2 9.4 9.2 9.3",23
"Softshell","female","11.0 11.2 11.2 11.2",40
"Spotted","female","4.5 4.7",56
"Spotted","female","4.6 4.6 4.5 4.6",36
"Softshell","female","10.6 10.5 10.6 10.3",33
"Softshell","male","10.1 10.3 10.1",13
"Softshell","female","9.8 9.8",19
"Spotted","female","4.9 5.0 4.9",58
"Softshell","male","9.6 9.7 9.7",22
"Softshell","male","9.5 9.5 9.4 9.4",27
"Spotted","female","4.9 4.9",52
"Spotted","female","4.5 4.5",61
"Softshell","female","10.6 10.9 10.8",23
"Softshell","female","10.3 10.4 10.4 10.3",20
"Spotted","female","4.9 4.8 5.1 4.8",61
"Spotted","female","4.8 4.8 4.9 4.9",38
"Spotted","male","4.2 4.2 3.9",17
"Spotted","male","2.2 2.3",9
"Softshell","male","8.9 8.9 8.9",16
"Spotted","female","5.2 5.0 5.3",86
"Spotted","female","4.8 4.7",43
"Spotted","female","4.1 4.0 4.0",34
"Spotted","male","2.6 2.5",12
"Spotted","male","3.5 3.7 3.7 3.5",32
"Softshell","male","8.6 8.8 8.9 8.7 8.7",14
"Spotted","female","4.8 4.8",78
"Spotted","female","5.3 5.0 5.3 5.2",62
"Spotted","male","4.1 4.0",36
"Softshell","female","10.9 10.9 11.0",21
"Softshell","male","9.2 9.2",17
"Spotted","female","5.4 5.5 5.6 5.4 5.4",38
"Spotted","female","4.4 4.5 4.4",47
"Softshell","male","9.6 9.5",16
"Softshell","female","10.7 10.6 10.8 10.5",22
"Softshell","female","9.9 10.2 10.0 10.0",17
"Spotted","female","4.9 5.1",49
"Spotted","female","5.4 5.7",49
"Softshell","male","9.3 9.0 9.2",15
"Softshell","male","9.2 9.3",6
"Softshell","female","9.8 9.8 10.1",23
"Spotted","male","4.4 4.3 4.3 4.5",37
"Spotted","female","4.0 4.1 4.0",59
"Softshell","male","9.7 9.5 9.8",27
"Spotted","male","4.4 4.2 4.1",36
"Spotted","female","4.3 4.5",52
"Spotted","female","4.9 4.9",67
"Spotted","female","4.0 4.1 4.3 3.9 3.9",52
"Spotted","female","4.9 4.8",42
"Softshell","female","10.0 9.8 10.0 9.9",13
"Spotted","female","4.8 4.9",44
"Softshell","female","9.9 9.7 9.9",20
"Spotted","male","3.1 3.1 2.7 2.9",22
"Softshell","male","9.9 10.1 10.1 10.0 10.0 9.9",32
"Softshell","female","10.1 10.2 9.9",16
"Softshell","female","10.4 10.6",13
"Softshell","male","9.5 9.2",18
"Softshell","female","10.0 10.0",12
"Spotted","female","4.4 4.2 4.3 4.2",42
"Softshell","female","10.1 10.2 10.1 10.0",17
"Softshell","female","10.4 10.3",16
"Softshell","male","9.8 9.7 9.7 9.4",23
"Spotted","female","4.3 4.2 4.3 4.4",35
"Softshell","female","9.4 9.4",13
"Softshell","male","9.6 9.4 9.5",27
"Softshell","male","9.0 8.9 9.2",7
"Spotted","male","2.3 2.3 2.4",12
"Softshell","male","9.4 9.2 9.3",26
"Spotted","female","5.1 4.8 4.8 4.8 4.7",44
"Softshell","female","10.8 10.5 10.3",23
"Spotted","female","5.6 5.5 5.7",102
"Softshell","male","9.5 9.4 9.4",14
"Softshell","female","10.3 10.2",14
"Softshell","male","9.2 9.3 9.4",13
"Softshell","female","10.1 10.3 10.1",31
"Spotted","male","4.0 4.2 4.2 4.2 4.1",33
"Spotted","male","4.2 4.4 4.4",46
"Softshell","male","9.9 10.0",24
"Softshell","female","10.6 10.4 10.2 10.5",25
"Spotted","male","3.3 3.3 3.4",35
"Softshell","male","9.4 9.3",17
"Softshell","female","9.8 9.7",12
"Spotted","female","5.1 5.3 5.2",53
"Softshell","female","9.8 9.8",36
"Softshell","female","10.5 10.4 10.3 10.4",18
"Spotted","male","2.1 2.2 2.0 2.1",12
"Softshell","female","11.0 11.1",31
"Softshell","male","8.8 8.7 8.5",15
"Softshell","male","8.5 8.3 8.8 8.5",11
"Softshell","female","10.8 10.9",22
"Softshell","female","11.3 10.9 11.2 11.4 11.3",39
"Spotted","male","2.4 2.3",26
"Spotted","female","4.8 4.8 4.7 4.9",50
"Spotted","male","3.3 3.1 2.9",11
"Spotted","female","5.0 4.9 4.8",53
"Spotted","male","3.5 3.7 3.5",26
"Softshell","female","10.1 9.8 9.8",11
"Softshell","male","9.7 9.7 9.5 9.5",35
"Spotted","female","5.0 4.9 4.9",47
"Spotted","female","5.3 5.4 5.4",54
"Softshell","female","10.3 10.5 10.4",19
"Softshell","male","9.3 9.3 9.6",25
"Softshell","female","9.4 9.5",13
"Softshell","female","10.1 10.2",16
"Spotted","female","5.1 4.8 4.8 4.8",76
"Spotted","male","2.9 3.3 3.3 3.3",42
"Softshell","male","9.4 9.8",23
"Softshell","female","9.5 9.3 9.5",16
"Spotted","female","5.3 5.4 5.3 5.5 5.3",52
"Softshell","male","9.1 9.2",21
"Spotted","male","2.1 2.1",6
"Spotted","female","4.6 4.6 4.7 4.6 4.7",36
"Softshell","male","8.7 8.6 8.8 8.6",13
"Softshell","male","9.3 9.2 9.3",16
"Softshell","male","10.0 9.5",20
"Softshell","male","8.9 9.0",25
"Softshell","male","8.7 8.6 8.5",23
"Spotted","female","6.5 6.3",99
"Spotted","female","5.3 5.5 5.3",67
"Softshell","male","9.4 9.6",18
"Softshell","female","10.7 10.6 10.4",16
"Spotted","female","4.1 4.1 3.9 4.1",20
"Softshell","female","10.3 10.1 10.3",23
"Softshell","female","10.5 10.7",20
"Spotted","male","3.7 3.8 3.9 3.7",46
"Softshell","male","9.0 9.2 9.2 9.2",13
"Spotted","male","3.2 3.1",24
"Spotted","female","4.3 4.2 4.5 4.3",68
"Softshell","female","10.6 10.7",25
"Softshell","male","9.9 9.7 9.6 9.7 9.8",27
"Softshell","female","11.4 11.5",33
"Softshell","male","8.6 8.6",22
"Softshell","male","9.7 9.6 9.4",11
"Softshell","female","10.7 10.6 10.5",23
"Spotted","female","5.8 5.6 5.8",68
"Spotted","male","4.2 4.3 4.2 4.2 4.4",37
"Softshell","female","10.7 10.8",17
"Spotted","male","3.3 3.3 3.2 3.4",21
"Softshell","female","10.5 10.7 10.6",23
"Softshell","male","9.0 9.1",28
"Softshell","male","8.5 8.7 8.8",11
"Spotted","female","6.6 6.3",112
"Spotted","male","3.2 3.4 3.3",18
"Softshell","female","10.4 10.3 10.3",12
"Spotted","female","5.2 5.3 5.3",81
"Spotted","male","3.6 3.6",31
"Softshell","male","9.9 9.8",16
"Spotted","female","4.9 4.6",36
"Softshell","female","10.6 10.5",35
"Spotted","male","3.2 3.2 3.2",51
"Spotted","male","4.9 4.7 4.8",48
"Softshell","female","9.3 9.4",7
"Spotted","male","3.4 3.3 3.6 3.6",28
"Spotted","female","5.4 5.3 5.5 5.5",46
"Spotted","male","1.8 1.8 1.6 1.8 1.8",2
"Spotted","female","5.6 5.4 5.7 5.4",54
"Softshell","female","10.0 9.9 10.1 9.8 10.2",13
"Softshell","male","8.8 8.9",17
"Spotted","male","3.1 3.1",17
"Softshell","male","8.7 8.6 8.5",14
"Spotted","female","4.1 4.2",19
"Spotted","female","5.5 5.8 5.7 5.7 5.5",87
"Softshell","female","10.4 10.5",14
"Softshell","female","10.2 10.4",12
"Softshell","female","10.5 10.6 10.4",29
"Spotted","female","4.0 4.0 4.1 4.2",29
"Spotted","female","4.8 4.7",48
"Spotted","female","5.1 5.1",49
"Spotted","male","4.4 4.3",47
"Spotted","female","4.5 4.4 4.3 4.6",36
"Spotted","female","4.7 4.9",71
"Softshell","male","8.7 8.4 8.5",12
"Spotted","male","4.1 4.0",27
"Spotted","female","5.7 5.4 5.7 5.4",49
"Spotted","male","3.1 3.0",27
"Spotted","female","4.4 4.1 4.5 4.6 4.4",40
"Spotted","female","5.0 4.8 4.8",26
"Softshell","female","11.0 11.0 11.1 11.0",33
"Softshell","female","9.4 9.4 9.2 9.4",14
"Spotted","male","3.7 3.5 3.8 3.6 3.8",41
"Spotted","female","5.1 5.0 5.2",84
"Softshell","male","8.6 8.4 8.7 8.6",10
"Softshell","female","10.6 10.5",11
"Softshell","male","9.3 9.2 9.0 9.1",15
"Softshell","male","9.8 10.0",18
"Softshell","female","9.7 9.8 9.6 9.5",22
"Softshell","female","10.2 9.9 10.2",17
"Spotted","female","4.3 4.3",51
"Spotted","female","4.9 4.7",51
"Softshell","male","8.8 9.0 8.9",17
"Spotted","male","3.5 3.4",22
"Spotted","male","2.5 2.5 2.4",11
"Softshell","male","9.6 10.0",20
"Spotted","female","5.6 5.4 5.4 5.5 5.4",45
"Spotted","male","4.3 4.2 4.1",32
"Softshell","male","8.2 8.0 7.8",9
"Spotted","male","3.4 3.3 3.3 3.4",48
"Softshell","female","10.3 10.4",21
"Softshell","female","10.6 10.7 10.7",19
"Softshell","female","10.5 10.7 10.4",24
"Softshell","female","10.7 10.9",20
"Spotted","female","5.2 5.1 5.2 5.2",51
"Softshell","female","11.0 11.3",24
"Spotted","male","3.4 3.2",37
"Softshell","female","10.4 10.5",19
"Softshell","female","9.9 10.0 9.9 10.0",11
"Softshell","female","11.0 11.0 10.9",27
"Spotted","female","5.1 4.9 5.1 4.9 5.1 5.1 4.9",45
"Spotted","male","3.4 3.3 3.6",36
"Spotted","female","4.7 4.9 4.9",68
"Spotted","male","2.4 2.6 2.5",6
"Softshell","male","8.8 8.9 9.0",14
"Spotted","female","5.6 5.8",38
"Spotted","female","5.3 5.3 5.4",54
"Spotted","female","5.6 5.7",103
"Softshell","female","11.0 10.9",36
"Spotted","female","5.5 5.5 5.4",66
"Softshell","female","10.9 11.0",16
"Spotted","female","5.7 5.8 5.6",70
"Softshell","male","8.5 8.4",32
"Spotted","male","3.2 3.4",18
"Spotted","male","3.5 3.5 3.6",21
"Spotted","female","5.7 5.7 5.4",58
"Spotted","male","4.4 4.5 4.4",43
"Softshell","male","9.6 9.6 9.6",14
"Spotted","male","3.8 3.8 3.5 3.6",21
"Spotted","female","5.0 5.0 5.0",45
"Softshell","male","9.1 9.3",18
"Softshell","male","8.1 8.4",22
"Spotted","female","5.5 5.3 5.5",51
"Softshell","female","10.7 10.7 10.6",20
"Softshell","female","9.6 9.7 9.5",14
"Spotted","female","4.9 4.8 5.1 4.9",68
"Softshell","female","10.7 10.7 10.6",36
"Spotted","female","5.3 5.3",113
"Spotted","female","4.6 4.5 4.5",34
"Spotted","female","5.1 5.1",53
"Softshell","female","10.7 10.7 10.8",26
"Softshell","female","10.4 10.6 10.5",16
"Spotted","female","5.7 5.8 5.7",78
"Spotted","female","5.4 5.1",69
"Spotted","male","4.1 4.0",42
"Spotted","female","5.3 4.9 5.0",53
"Spotted","female","4.0 4.1",29
"Softshell","female","8.9 8.6",4
"Spotted","female","4.8 4.9",55
"Spotted","female","5.0 5.3",28
"Spotted","female","5.8 5.7 5.8",77
"Softshell","male","10.3 10.4",30
"Spotted","female","4.4 4.3 4.3",34
"Spotted","female","4.9 4.7",66
"Softshell","female","10.5 10.2",19
"Softshell","male","8.8 8.7 9.1",6
"Softshell","female","10.0 10.4",17
"Spotted","male","3.6 3.2 3.7 3.5 3.6",22
"Softshell","female","10.7 10.7",35
"Softshell","male","9.4 9.3 9.3",10
"Softshell","male","9.8 9.9 9.8 9.7",12
"Spotted","male","2.9 3.0 2.8",13
"Spotted","male","3.8 3.7 3.8",26
"Softshell","male","10.7 10.5",13
"Softshell","male","9.4 9.3 9.4",13
"Softshell","female","10.2 10.2",23
"Spotted","male","4.2 4.2 4.2",37
"Spotted","female","4.8 5.0",74
"Spotted","female","4.1 4.2",37
"Softshell","male","9.2 9.4 9.5",20
"Spotted","male","4.2 4.4 4.0",22
"Softshell","female","10.2 10.0 10.0",28
"Softshell","male","10.1 9.8 10.0",21
"Softshell","male","9.7 9.7 9.5",31
"Spotted","female","4.9 5.2 5.0 5.2",37
"Spotted","male","3.7 3.4 3.4",21
"Softshell","female","10.2 10.0 10.3 10.0",16
"Spotted","male","3.1 3.2",27
"Spotted","female","4.4 4.2",29
"Softshell","male","9.6 9.7 9.8",27
"Softshell","male","9.4 9.1",19
"Softshell","female","10.0 10.2 10.1",11
"Spotted","female","4.4 4.4 4.5 4.3 4.7",34
"Spotted","female","5.8 5.7 6.0 5.9",88
"Softshell","male","9.0 8.9 9.0",16
"Spotted","female","4.8 5.0 4.9",67
"Spotted","female","4.4 4.6 4.6 4.7",30
"Spotted","male","4.5 4.6 4.6",46
"Spotted","female","4.9 4.7",43
"Spotted","female","4.6 4.6 4.6",54
"Spotted","female","5.9 5.8 5.8",71
"Softshell","male","8.8 8.9 9.0",7
"Spotted","female","4.9 4.8 4.6 4.8 5.0 4.9",35
"Spotted","female","5.2 5.3 5.1",76
"Softshell","female","11.4 11.3 11.1",36
"Softshell","female","10.0 10.1 10.3",19
"Softshell","male","9.1 9.1 9.1",16
"Softshell","male","9.0 9.1 9.0",8
"Softshell","female","9.8 9.4 9.6",7
"Softshell","female","11.2 11.3",28
"Softshell","male","9.3 9.4",22
"Spotted","female","4.5 4.5 4.6",31
"Spotted","female","5.3 5.4 5.1",53
"Spotted","female","5.5 5.4",80
"Spotted","female","4.5 4.8 4.4",52
